Cancer Type,Feature Type,Clinical Outcome Endpoint,Event Time Threshold (Year),Source Group,Target Group,EA-Positive,EA-Negative,DDP-Positive,DDP-Negative
PanSCCs,"('mRNA', 'MicroRNA')",OS,2,WHITE,BLACK,646,404,44,48
PanSCCs,"('mRNA', 'MicroRNA')",OS,3,WHITE,BLACK,405,482,29,52
PanSCCs,"('mRNA', 'MicroRNA')",OS,4,WHITE,BLACK,286,512,21,58
PanSCCs,"('mRNA', 'MicroRNA')",OS,5,WHITE,BLACK,193,530,18,58
PanSCCs,"('mRNA', 'MicroRNA')",PFI,1,WHITE,BLACK,953,282,78,36
PanSCCs,"('mRNA', 'MicroRNA')",PFI,2,WHITE,BLACK,561,418,38,49
PanSCCs,"('mRNA', 'MicroRNA')",PFI,3,WHITE,BLACK,354,464,26,50
PanSCCs,"('mRNA', 'MicroRNA')",PFI,4,WHITE,BLACK,251,480,20,53
PanSCCs,"('mRNA', 'MicroRNA')",PFI,5,WHITE,BLACK,157,501,17,53
PanSCCs,"('Protein', 'Methylation')",DFI,2,WHITE,BLACK,195,51,10,6
PanSCCs,"('Protein', 'Methylation')",DFI,3,WHITE,BLACK,121,62,8,6
PanSCCs,"('Protein', 'Methylation')",DFI,4,WHITE,BLACK,92,63,7,7
PanSCCs,"('Protein', 'Methylation')",DFI,5,WHITE,BLACK,61,71,5,7
PanSCCs,"('Protein', 'Methylation')",DSS,1,WHITE,BLACK,580,79,46,13
PanSCCs,"('Protein', 'Methylation')",DSS,2,WHITE,BLACK,347,152,26,22
PanSCCs,"('Protein', 'Methylation')",DSS,3,WHITE,BLACK,225,182,19,23
PanSCCs,"('Protein', 'Methylation')",DSS,4,WHITE,BLACK,169,194,13,27
PanSCCs,"('Protein', 'Methylation')",DSS,5,WHITE,BLACK,119,199,11,27
PanSCCs,"('Protein', 'Methylation')",OS,1,WHITE,BLACK,618,141,48,17
PanSCCs,"('Protein', 'Methylation')",OS,2,WHITE,BLACK,369,255,26,29
PanSCCs,"('Protein', 'Methylation')",OS,3,WHITE,BLACK,239,306,19,33
PanSCCs,"('Protein', 'Methylation')",OS,4,WHITE,BLACK,180,325,13,38
PanSCCs,"('Protein', 'Methylation')",OS,5,WHITE,BLACK,128,335,11,38
PanSCCs,"('Protein', 'Methylation')",PFI,1,WHITE,BLACK,542,165,38,23
PanSCCs,"('Protein', 'Methylation')",PFI,2,WHITE,BLACK,315,250,20,32
PanSCCs,"('Protein', 'Methylation')",PFI,3,WHITE,BLACK,206,277,16,32
PanSCCs,"('Protein', 'Methylation')",PFI,4,WHITE,BLACK,157,288,12,35
PanSCCs,"('Protein', 'Methylation')",PFI,5,WHITE,BLACK,103,302,10,35
PanSCCs,"('Protein', 'MicroRNA')",DFI,2,WHITE,BLACK,222,59,10,7
PanSCCs,"('Protein', 'MicroRNA')",DFI,3,WHITE,BLACK,143,71,8,7
PanSCCs,"('Protein', 'MicroRNA')",DFI,4,WHITE,BLACK,110,72,7,8
PanSCCs,"('Protein', 'MicroRNA')",DFI,5,WHITE,BLACK,75,80,5,8
PanSCCs,"('Protein', 'MicroRNA')",DSS,1,WHITE,BLACK,626,84,49,13
PanSCCs,"('Protein', 'MicroRNA')",DSS,2,WHITE,BLACK,383,161,26,22
PanSCCs,"('Protein', 'MicroRNA')",DSS,3,WHITE,BLACK,252,196,19,23
PanSCCs,"('Protein', 'MicroRNA')",DSS,4,WHITE,BLACK,189,207,13,27
PanSCCs,"('Protein', 'MicroRNA')",DSS,5,WHITE,BLACK,132,213,11,27
PanSCCs,"('Protein', 'MicroRNA')",OS,1,WHITE,BLACK,668,148,51,17
PanSCCs,"('Protein', 'MicroRNA')",OS,2,WHITE,BLACK,407,268,26,29
PanSCCs,"('Protein', 'MicroRNA')",OS,3,WHITE,BLACK,268,325,19,33
PanSCCs,"('Protein', 'MicroRNA')",OS,4,WHITE,BLACK,202,343,13,38
PanSCCs,"('Protein', 'MicroRNA')",OS,5,WHITE,BLACK,143,354,11,38
PanSCCs,"('Protein', 'MicroRNA')",PFI,1,WHITE,BLACK,591,172,41,23
PanSCCs,"('Protein', 'MicroRNA')",PFI,2,WHITE,BLACK,349,266,20,33
PanSCCs,"('Protein', 'MicroRNA')",PFI,3,WHITE,BLACK,233,296,16,33
PanSCCs,"('Protein', 'MicroRNA')",PFI,4,WHITE,BLACK,177,308,12,36
PanSCCs,"('Protein', 'MicroRNA')",PFI,5,WHITE,BLACK,116,323,10,36
PanSCCs,"('Protein', 'mRNA')",DFI,2,WHITE,BLACK,226,59,10,6
PanSCCs,"('Protein', 'mRNA')",DFI,3,WHITE,BLACK,146,71,8,6
PanSCCs,"('Protein', 'mRNA')",DFI,4,WHITE,BLACK,113,72,7,7
PanSCCs,"('Protein', 'mRNA')",DFI,5,WHITE,BLACK,76,80,5,7
PanSCCs,"('Protein', 'mRNA')",DSS,1,WHITE,BLACK,636,85,49,13
PanSCCs,"('Protein', 'mRNA')",DSS,2,WHITE,BLACK,388,164,26,22
PanSCCs,"('Protein', 'mRNA')",DSS,3,WHITE,BLACK,257,198,20,22
PanSCCs,"('Protein', 'mRNA')",DSS,4,WHITE,BLACK,192,210,14,26
PanSCCs,"('Protein', 'mRNA')",DSS,5,WHITE,BLACK,134,216,12,26
PanSCCs,"('Protein', 'mRNA')",OS,1,WHITE,BLACK,679,154,51,18
PanSCCs,"('Protein', 'mRNA')",OS,2,WHITE,BLACK,413,276,26,30
PanSCCs,"('Protein', 'mRNA')",OS,3,WHITE,BLACK,273,332,20,33
PanSCCs,"('Protein', 'mRNA')",OS,4,WHITE,BLACK,205,352,14,38
PanSCCs,"('Protein', 'mRNA')",OS,5,WHITE,BLACK,145,363,12,38
PanSCCs,"('Protein', 'mRNA')",PFI,1,WHITE,BLACK,599,176,41,23
PanSCCs,"('Protein', 'mRNA')",PFI,2,WHITE,BLACK,357,268,21,32
PanSCCs,"('Protein', 'mRNA')",PFI,3,WHITE,BLACK,238,299,17,32
PanSCCs,"('Protein', 'mRNA')",PFI,4,WHITE,BLACK,181,311,13,35
PanSCCs,"('Protein', 'mRNA')",PFI,5,WHITE,BLACK,118,326,11,35
PRAD,"('mRNA', 'MicroRNA')",PFI,3,WHITE,BLACK,135,58,27,6
PRAD,"('mRNA', 'MicroRNA')",PFI,4,WHITE,BLACK,72,68,22,6
PRAD,"('mRNA', 'MicroRNA')",PFI,5,WHITE,BLACK,46,72,15,6
SARC,"('MicroRNA', 'Methylation')",DSS,2,WHITE,BLACK,133,30,10,5
SARC,"('MicroRNA', 'Methylation')",DSS,3,WHITE,BLACK,94,44,6,5
SARC,"('MicroRNA', 'Methylation')",DSS,4,WHITE,BLACK,66,51,5,5
SARC,"('MicroRNA', 'Methylation')",OS,2,WHITE,BLACK,136,37,10,5
SARC,"('MicroRNA', 'Methylation')",OS,3,WHITE,BLACK,97,51,6,6
SARC,"('MicroRNA', 'Methylation')",OS,4,WHITE,BLACK,68,60,5,6
SARC,"('MicroRNA', 'Methylation')",PFI,1,WHITE,BLACK,128,71,13,6
SARC,"('MicroRNA', 'Methylation')",PFI,2,WHITE,BLACK,81,96,7,9
SARC,"('mRNA', 'Methylation')",DSS,2,WHITE,BLACK,132,31,10,5
SARC,"('mRNA', 'Methylation')",DSS,3,WHITE,BLACK,93,45,6,5
SARC,"('mRNA', 'Methylation')",DSS,4,WHITE,BLACK,65,52,5,5
SARC,"('mRNA', 'Methylation')",OS,2,WHITE,BLACK,135,37,10,5
SARC,"('mRNA', 'Methylation')",OS,3,WHITE,BLACK,96,51,6,6
SARC,"('mRNA', 'Methylation')",OS,4,WHITE,BLACK,67,60,5,6
SARC,"('mRNA', 'Methylation')",PFI,1,WHITE,BLACK,126,72,13,6
SARC,"('mRNA', 'Methylation')",PFI,2,WHITE,BLACK,80,97,7,9
SARC,"('mRNA', 'MicroRNA')",DSS,2,WHITE,BLACK,133,33,10,5
SARC,"('mRNA', 'MicroRNA')",DSS,3,WHITE,BLACK,93,47,6,5
SARC,"('mRNA', 'MicroRNA')",DSS,4,WHITE,BLACK,65,54,5,5
SARC,"('mRNA', 'MicroRNA')",OS,2,WHITE,BLACK,136,40,10,5
SARC,"('mRNA', 'MicroRNA')",OS,3,WHITE,BLACK,96,54,6,6
SARC,"('mRNA', 'MicroRNA')",OS,4,WHITE,BLACK,67,63,5,6
SARC,"('mRNA', 'MicroRNA')",PFI,1,WHITE,BLACK,128,74,13,6
SARC,"('mRNA', 'MicroRNA')",PFI,2,WHITE,BLACK,81,99,7,9
SARC,"('Protein', 'Methylation')",DSS,2,WHITE,BLACK,117,28,7,5
SARC,"('Protein', 'Methylation')",OS,2,WHITE,BLACK,120,34,7,5
SARC,"('Protein', 'Methylation')",PFI,1,WHITE,BLACK,112,65,9,5
SARC,"('Protein', 'Methylation')",PFI,2,WHITE,BLACK,77,82,6,6
SARC,"('Protein', 'MicroRNA')",DSS,2,WHITE,BLACK,118,30,7,5
SARC,"('Protein', 'MicroRNA')",OS,2,WHITE,BLACK,121,37,7,5
SARC,"('Protein', 'MicroRNA')",PFI,1,WHITE,BLACK,113,67,9,5
SARC,"('Protein', 'MicroRNA')",PFI,2,WHITE,BLACK,78,84,6,6
SARC,"('Protein', 'mRNA')",DSS,2,WHITE,BLACK,118,32,7,5
SARC,"('Protein', 'mRNA')",OS,2,WHITE,BLACK,121,39,7,5
SARC,"('Protein', 'mRNA')",PFI,1,WHITE,BLACK,113,68,9,5
SARC,"('Protein', 'mRNA')",PFI,2,WHITE,BLACK,78,86,6,6
STAD,"('mRNA', 'MicroRNA')",DSS,2,WHITE,BLACK,76,48,5,5
STAD,"('mRNA', 'MicroRNA')",OS,2,WHITE,BLACK,77,89,5,6
STAD,"('mRNA', 'MicroRNA')",PFI,2,WHITE,BLACK,65,77,5,6
STES,"('MicroRNA', 'Methylation')",DSS,1,WHITE,BLACK,208,34,10,5
STES,"('MicroRNA', 'Methylation')",DSS,2,WHITE,BLACK,93,65,5,8
STES,"('MicroRNA', 'Methylation')",OS,1,WHITE,BLACK,213,74,10,6
STES,"('MicroRNA', 'Methylation')",OS,2,WHITE,BLACK,95,118,5,9
STES,"('MicroRNA', 'Methylation')",PFI,1,WHITE,BLACK,184,71,9,7
STES,"('MicroRNA', 'Methylation')",PFI,2,WHITE,BLACK,80,106,5,10
STES,"('mRNA', 'Methylation')",DSS,2,WHITE,BLACK,91,63,5,7
STES,"('mRNA', 'Methylation')",OS,1,WHITE,BLACK,211,67,10,5
STES,"('mRNA', 'Methylation')",OS,2,WHITE,BLACK,93,111,5,8
STES,"('mRNA', 'Methylation')",PFI,1,WHITE,BLACK,182,68,9,6
STES,"('mRNA', 'Methylation')",PFI,2,WHITE,BLACK,78,103,5,9
STES,"('mRNA', 'MicroRNA')",DSS,1,WHITE,BLACK,237,39,11,5
STES,"('mRNA', 'MicroRNA')",DSS,2,WHITE,BLACK,110,77,6,8
STES,"('mRNA', 'MicroRNA')",OS,1,WHITE,BLACK,243,82,11,6
STES,"('mRNA', 'MicroRNA')",OS,2,WHITE,BLACK,112,134,6,9
STES,"('mRNA', 'MicroRNA')",PFI,1,WHITE,BLACK,208,82,10,7
STES,"('mRNA', 'MicroRNA')",PFI,2,WHITE,BLACK,95,123,6,10
UCEC,"('MicroRNA', 'Methylation')",DFI,2,WHITE,BLACK,154,29,35,5
UCEC,"('MicroRNA', 'Methylation')",DFI,3,WHITE,BLACK,102,35,18,11
UCEC,"('MicroRNA', 'Methylation')",DFI,4,WHITE,BLACK,75,37,13,13
UCEC,"('MicroRNA', 'Methylation')",DFI,5,WHITE,BLACK,48,38,11,13
UCEC,"('MicroRNA', 'Methylation')",DSS,2,WHITE,BLACK,197,19,56,7
UCEC,"('MicroRNA', 'Methylation')",DSS,3,WHITE,BLACK,132,27,35,11
UCEC,"('MicroRNA', 'Methylation')",DSS,4,WHITE,BLACK,99,30,23,14
UCEC,"('MicroRNA', 'Methylation')",DSS,5,WHITE,BLACK,65,31,18,15
UCEC,"('MicroRNA', 'Methylation')",OS,1,WHITE,BLACK,290,15,90,5
UCEC,"('MicroRNA', 'Methylation')",OS,2,WHITE,BLACK,198,31,56,8
UCEC,"('MicroRNA', 'Methylation')",OS,3,WHITE,BLACK,133,44,35,13
UCEC,"('MicroRNA', 'Methylation')",OS,4,WHITE,BLACK,99,49,23,17
UCEC,"('MicroRNA', 'Methylation')",OS,5,WHITE,BLACK,65,51,18,18
UCEC,"('MicroRNA', 'Methylation')",PFI,1,WHITE,BLACK,269,30,86,8
UCEC,"('MicroRNA', 'Methylation')",PFI,2,WHITE,BLACK,174,59,48,17
UCEC,"('MicroRNA', 'Methylation')",PFI,3,WHITE,BLACK,114,69,28,23
UCEC,"('MicroRNA', 'Methylation')",PFI,4,WHITE,BLACK,84,73,19,27
UCEC,"('MicroRNA', 'Methylation')",PFI,5,WHITE,BLACK,53,74,16,27
UCEC,"('mRNA', 'Methylation')",DFI,2,WHITE,BLACK,158,29,35,5
UCEC,"('mRNA', 'Methylation')",DFI,3,WHITE,BLACK,106,35,18,11
UCEC,"('mRNA', 'Methylation')",DFI,4,WHITE,BLACK,77,37,13,13
UCEC,"('mRNA', 'Methylation')",DFI,5,WHITE,BLACK,49,38,11,13
UCEC,"('mRNA', 'Methylation')",DSS,2,WHITE,BLACK,201,19,56,8
UCEC,"('mRNA', 'Methylation')",DSS,3,WHITE,BLACK,136,27,35,12
UCEC,"('mRNA', 'Methylation')",DSS,4,WHITE,BLACK,101,30,23,15
UCEC,"('mRNA', 'Methylation')",DSS,5,WHITE,BLACK,66,31,18,16
UCEC,"('mRNA', 'Methylation')",OS,1,WHITE,BLACK,295,15,90,5
UCEC,"('mRNA', 'Methylation')",OS,2,WHITE,BLACK,202,32,56,9
UCEC,"('mRNA', 'Methylation')",OS,3,WHITE,BLACK,137,45,35,14
UCEC,"('mRNA', 'Methylation')",OS,4,WHITE,BLACK,101,50,23,18
UCEC,"('mRNA', 'Methylation')",OS,5,WHITE,BLACK,66,52,18,19
UCEC,"('mRNA', 'Methylation')",PFI,1,WHITE,BLACK,274,30,86,8
UCEC,"('mRNA', 'Methylation')",PFI,2,WHITE,BLACK,178,59,48,18
UCEC,"('mRNA', 'Methylation')",PFI,3,WHITE,BLACK,118,69,28,24
UCEC,"('mRNA', 'Methylation')",PFI,4,WHITE,BLACK,86,73,19,28
UCEC,"('mRNA', 'Methylation')",PFI,5,WHITE,BLACK,54,74,16,28
UCEC,"('mRNA', 'MicroRNA')",DFI,2,WHITE,BLACK,166,30,37,5
UCEC,"('mRNA', 'MicroRNA')",DFI,3,WHITE,BLACK,110,36,20,11
UCEC,"('mRNA', 'MicroRNA')",DFI,4,WHITE,BLACK,81,39,15,13
UCEC,"('mRNA', 'MicroRNA')",DFI,5,WHITE,BLACK,52,40,12,13
UCEC,"('mRNA', 'MicroRNA')",DSS,2,WHITE,BLACK,213,20,58,7
UCEC,"('mRNA', 'MicroRNA')",DSS,3,WHITE,BLACK,142,29,37,11
UCEC,"('mRNA', 'MicroRNA')",DSS,4,WHITE,BLACK,107,32,25,14
UCEC,"('mRNA', 'MicroRNA')",DSS,5,WHITE,BLACK,70,33,19,15
UCEC,"('mRNA', 'MicroRNA')",OS,1,WHITE,BLACK,309,15,91,5
UCEC,"('mRNA', 'MicroRNA')",OS,2,WHITE,BLACK,214,32,58,8
UCEC,"('mRNA', 'MicroRNA')",OS,3,WHITE,BLACK,143,46,37,13
UCEC,"('mRNA', 'MicroRNA')",OS,4,WHITE,BLACK,107,51,25,17
UCEC,"('mRNA', 'MicroRNA')",OS,5,WHITE,BLACK,70,53,19,18
UCEC,"('mRNA', 'MicroRNA')",PFI,1,WHITE,BLACK,287,31,87,8
UCEC,"('mRNA', 'MicroRNA')",PFI,2,WHITE,BLACK,189,61,50,17
UCEC,"('mRNA', 'MicroRNA')",PFI,3,WHITE,BLACK,123,72,30,23
UCEC,"('mRNA', 'MicroRNA')",PFI,4,WHITE,BLACK,90,78,21,27
UCEC,"('mRNA', 'MicroRNA')",PFI,5,WHITE,BLACK,58,79,17,27
UCEC,"('Protein', 'Methylation')",DFI,3,WHITE,BLACK,85,30,14,8
UCEC,"('Protein', 'Methylation')",DFI,4,WHITE,BLACK,61,30,11,9
UCEC,"('Protein', 'Methylation')",DFI,5,WHITE,BLACK,39,31,9,9
UCEC,"('Protein', 'Methylation')",DSS,2,WHITE,BLACK,158,15,43,7
UCEC,"('Protein', 'Methylation')",DSS,3,WHITE,BLACK,108,21,25,10
UCEC,"('Protein', 'Methylation')",DSS,4,WHITE,BLACK,78,24,17,12
UCEC,"('Protein', 'Methylation')",DSS,5,WHITE,BLACK,50,25,13,12
UCEC,"('Protein', 'Methylation')",OS,1,WHITE,BLACK,235,13,73,5
UCEC,"('Protein', 'Methylation')",OS,2,WHITE,BLACK,159,26,43,8
UCEC,"('Protein', 'Methylation')",OS,3,WHITE,BLACK,109,35,25,12
UCEC,"('Protein', 'Methylation')",OS,4,WHITE,BLACK,78,40,17,15
UCEC,"('Protein', 'Methylation')",OS,5,WHITE,BLACK,50,42,13,15
UCEC,"('Protein', 'Methylation')",PFI,1,WHITE,BLACK,216,26,70,7
UCEC,"('Protein', 'Methylation')",PFI,2,WHITE,BLACK,139,47,39,13
UCEC,"('Protein', 'Methylation')",PFI,3,WHITE,BLACK,92,56,21,19
UCEC,"('Protein', 'Methylation')",PFI,4,WHITE,BLACK,66,57,15,21
UCEC,"('Protein', 'Methylation')",PFI,5,WHITE,BLACK,41,58,12,21
UCEC,"('Protein', 'MicroRNA')",DFI,3,WHITE,BLACK,88,31,16,8
UCEC,"('Protein', 'MicroRNA')",DFI,4,WHITE,BLACK,64,32,13,9
UCEC,"('Protein', 'MicroRNA')",DFI,5,WHITE,BLACK,41,33,10,9
UCEC,"('Protein', 'MicroRNA')",DSS,2,WHITE,BLACK,167,16,45,6
UCEC,"('Protein', 'MicroRNA')",DSS,3,WHITE,BLACK,113,23,27,9
UCEC,"('Protein', 'MicroRNA')",DSS,4,WHITE,BLACK,83,26,19,11
UCEC,"('Protein', 'MicroRNA')",DSS,5,WHITE,BLACK,53,27,14,11
UCEC,"('Protein', 'MicroRNA')",OS,1,WHITE,BLACK,246,13,74,5
UCEC,"('Protein', 'MicroRNA')",OS,2,WHITE,BLACK,168,26,45,7
UCEC,"('Protein', 'MicroRNA')",OS,3,WHITE,BLACK,114,36,27,11
UCEC,"('Protein', 'MicroRNA')",OS,4,WHITE,BLACK,83,41,19,14
UCEC,"('Protein', 'MicroRNA')",OS,5,WHITE,BLACK,53,43,14,14
UCEC,"('Protein', 'MicroRNA')",PFI,1,WHITE,BLACK,226,27,71,7
UCEC,"('Protein', 'MicroRNA')",PFI,2,WHITE,BLACK,147,49,41,12
UCEC,"('Protein', 'MicroRNA')",PFI,3,WHITE,BLACK,96,59,23,18
UCEC,"('Protein', 'MicroRNA')",PFI,4,WHITE,BLACK,69,62,17,20
UCEC,"('Protein', 'MicroRNA')",PFI,5,WHITE,BLACK,44,63,13,20
UCEC,"('Protein', 'mRNA')",DFI,3,WHITE,BLACK,93,31,16,8
UCEC,"('Protein', 'mRNA')",DFI,4,WHITE,BLACK,67,32,13,9
UCEC,"('Protein', 'mRNA')",DFI,5,WHITE,BLACK,43,33,10,9
UCEC,"('Protein', 'mRNA')",DSS,2,WHITE,BLACK,173,16,45,7
UCEC,"('Protein', 'mRNA')",DSS,3,WHITE,BLACK,118,24,27,10
UCEC,"('Protein', 'mRNA')",DSS,4,WHITE,BLACK,86,26,19,12
UCEC,"('Protein', 'mRNA')",DSS,5,WHITE,BLACK,55,27,14,12
UCEC,"('Protein', 'mRNA')",OS,1,WHITE,BLACK,254,13,74,5
UCEC,"('Protein', 'mRNA')",OS,2,WHITE,BLACK,174,27,45,8
UCEC,"('Protein', 'mRNA')",OS,3,WHITE,BLACK,119,38,27,12
UCEC,"('Protein', 'mRNA')",OS,4,WHITE,BLACK,86,42,19,15
UCEC,"('Protein', 'mRNA')",OS,5,WHITE,BLACK,55,44,14,15
UCEC,"('Protein', 'mRNA')",PFI,1,WHITE,BLACK,233,28,71,7
UCEC,"('Protein', 'mRNA')",PFI,2,WHITE,BLACK,152,50,41,13
UCEC,"('Protein', 'mRNA')",PFI,3,WHITE,BLACK,101,60,23,19
UCEC,"('Protein', 'mRNA')",PFI,4,WHITE,BLACK,72,63,17,21
UCEC,"('Protein', 'mRNA')",PFI,5,WHITE,BLACK,46,64,13,21
BLCA,"('MicroRNA', 'Methylation')",DFI,2,WHITE,ASIAN,61,11,7,6
BLCA,"('MicroRNA', 'Methylation')",OS,2,WHITE,ASIAN,112,118,8,7
BLCA,"('MicroRNA', 'Methylation')",PFI,1,WHITE,ASIAN,186,86,25,7
BLCA,"('MicroRNA', 'Methylation')",PFI,2,WHITE,ASIAN,92,122,7,9
BLCA,"('mRNA', 'Methylation')",DFI,2,WHITE,ASIAN,61,11,7,6
BLCA,"('mRNA', 'Methylation')",OS,2,WHITE,ASIAN,111,118,8,7
BLCA,"('mRNA', 'Methylation')",PFI,1,WHITE,ASIAN,184,87,25,7
BLCA,"('mRNA', 'Methylation')",PFI,2,WHITE,ASIAN,92,121,7,9
BLCA,"('mRNA', 'MicroRNA')",DFI,2,WHITE,ASIAN,63,12,7,6
BLCA,"('mRNA', 'MicroRNA')",OS,2,WHITE,ASIAN,118,120,9,7
BLCA,"('mRNA', 'MicroRNA')",OS,3,WHITE,ASIAN,74,138,5,7
BLCA,"('mRNA', 'MicroRNA')",OS,4,WHITE,ASIAN,55,144,5,7
BLCA,"('mRNA', 'MicroRNA')",PFI,1,WHITE,ASIAN,191,90,26,7
BLCA,"('mRNA', 'MicroRNA')",PFI,2,WHITE,ASIAN,97,125,8,9
BLCA,"('Protein', 'Methylation')",DFI,2,WHITE,ASIAN,47,10,6,5
BLCA,"('Protein', 'Methylation')",OS,2,WHITE,ASIAN,91,101,7,6
BLCA,"('Protein', 'Methylation')",PFI,1,WHITE,ASIAN,152,72,21,7
BLCA,"('Protein', 'Methylation')",PFI,2,WHITE,ASIAN,72,105,6,8
BLCA,"('Protein', 'MicroRNA')",DFI,2,WHITE,ASIAN,49,12,6,5
BLCA,"('Protein', 'MicroRNA')",OS,2,WHITE,ASIAN,98,103,8,6
BLCA,"('Protein', 'MicroRNA')",PFI,1,WHITE,ASIAN,159,76,22,7
BLCA,"('Protein', 'MicroRNA')",PFI,2,WHITE,ASIAN,77,110,7,8
BLCA,"('Protein', 'mRNA')",DFI,2,WHITE,ASIAN,49,11,6,5
BLCA,"('Protein', 'mRNA')",OS,2,WHITE,ASIAN,97,103,8,6
BLCA,"('Protein', 'mRNA')",PFI,1,WHITE,ASIAN,157,76,22,7
BLCA,"('Protein', 'mRNA')",PFI,2,WHITE,ASIAN,77,108,7,8
BRCA,"('MicroRNA', 'Methylation')",PFI,3,WHITE,ASIAN,299,54,7,5
BRCA,"('MicroRNA', 'Methylation')",PFI,4,WHITE,ASIAN,220,66,6,5
BRCA,"('mRNA', 'Methylation')",PFI,3,WHITE,ASIAN,304,57,7,5
BRCA,"('mRNA', 'Methylation')",PFI,4,WHITE,ASIAN,223,69,6,5
BRCA,"('mRNA', 'MicroRNA')",PFI,3,WHITE,ASIAN,320,59,8,5
BRCA,"('mRNA', 'MicroRNA')",PFI,4,WHITE,ASIAN,230,72,7,5
BRCA,"('Protein', 'Methylation')",PFI,3,WHITE,ASIAN,252,51,6,5
BRCA,"('Protein', 'Methylation')",PFI,4,WHITE,ASIAN,186,60,5,5
BRCA,"('Protein', 'MicroRNA')",PFI,3,WHITE,ASIAN,264,53,7,5
BRCA,"('Protein', 'MicroRNA')",PFI,4,WHITE,ASIAN,191,63,6,5
BRCA,"('Protein', 'mRNA')",PFI,3,WHITE,ASIAN,273,56,7,5
BRCA,"('Protein', 'mRNA')",PFI,4,WHITE,ASIAN,199,66,6,5
ESCA,"('MicroRNA', 'Methylation')",OS,1,WHITE,ASIAN,62,22,34,7
ESCA,"('MicroRNA', 'Methylation')",PFI,1,WHITE,ASIAN,51,26,19,19
ESCA,"('mRNA', 'Methylation')",OS,1,WHITE,ASIAN,62,22,35,7
ESCA,"('mRNA', 'Methylation')",PFI,1,WHITE,ASIAN,51,26,20,19
ESCA,"('mRNA', 'MicroRNA')",OS,1,WHITE,ASIAN,71,28,34,7
ESCA,"('mRNA', 'MicroRNA')",PFI,1,WHITE,ASIAN,58,33,19,19
ESCA,"('Protein', 'Methylation')",OS,1,WHITE,ASIAN,43,15,34,6
ESCA,"('Protein', 'Methylation')",PFI,1,WHITE,ASIAN,36,14,19,18
ESCA,"('Protein', 'MicroRNA')",OS,1,WHITE,ASIAN,47,18,33,6
ESCA,"('Protein', 'MicroRNA')",PFI,1,WHITE,ASIAN,39,17,18,18
ESCA,"('Protein', 'mRNA')",OS,1,WHITE,ASIAN,48,18,34,6
ESCA,"('Protein', 'mRNA')",PFI,1,WHITE,ASIAN,39,18,19,18
LIHC,"('MicroRNA', 'Methylation')",DFI,1,WHITE,ASIAN,69,38,81,45
LIHC,"('MicroRNA', 'Methylation')",DFI,2,WHITE,ASIAN,35,57,40,52
LIHC,"('MicroRNA', 'Methylation')",DFI,3,WHITE,ASIAN,19,63,27,57
LIHC,"('MicroRNA', 'Methylation')",DFI,4,WHITE,ASIAN,11,68,18,60
LIHC,"('MicroRNA', 'Methylation')",DFI,5,WHITE,ASIAN,8,69,8,63
LIHC,"('MicroRNA', 'Methylation')",DSS,1,WHITE,ASIAN,117,7,105,18
LIHC,"('MicroRNA', 'Methylation')",DSS,2,WHITE,ASIAN,68,22,55,23
LIHC,"('MicroRNA', 'Methylation')",DSS,3,WHITE,ASIAN,38,32,43,23
LIHC,"('MicroRNA', 'Methylation')",DSS,4,WHITE,ASIAN,28,37,32,23
LIHC,"('MicroRNA', 'Methylation')",DSS,5,WHITE,ASIAN,19,42,18,24
LIHC,"('MicroRNA', 'Methylation')",OS,1,WHITE,ASIAN,119,20,106,35
LIHC,"('MicroRNA', 'Methylation')",OS,2,WHITE,ASIAN,70,39,55,41
LIHC,"('MicroRNA', 'Methylation')",OS,3,WHITE,ASIAN,39,51,43,41
LIHC,"('MicroRNA', 'Methylation')",OS,4,WHITE,ASIAN,28,58,32,41
LIHC,"('MicroRNA', 'Methylation')",OS,5,WHITE,ASIAN,19,63,18,43
LIHC,"('MicroRNA', 'Methylation')",PFI,1,WHITE,ASIAN,81,49,80,54
LIHC,"('MicroRNA', 'Methylation')",PFI,2,WHITE,ASIAN,37,75,39,61
LIHC,"('MicroRNA', 'Methylation')",PFI,3,WHITE,ASIAN,19,83,27,66
LIHC,"('MicroRNA', 'Methylation')",PFI,4,WHITE,ASIAN,12,88,18,69
LIHC,"('MicroRNA', 'Methylation')",PFI,5,WHITE,ASIAN,8,90,8,72
LIHC,"('mRNA', 'Methylation')",DFI,1,WHITE,ASIAN,69,39,80,43
LIHC,"('mRNA', 'Methylation')",DFI,2,WHITE,ASIAN,33,59,39,50
LIHC,"('mRNA', 'Methylation')",DFI,3,WHITE,ASIAN,19,65,26,55
LIHC,"('mRNA', 'Methylation')",DFI,4,WHITE,ASIAN,11,70,18,57
LIHC,"('mRNA', 'Methylation')",DFI,5,WHITE,ASIAN,8,71,8,60
LIHC,"('mRNA', 'Methylation')",DSS,1,WHITE,ASIAN,118,7,102,18
LIHC,"('mRNA', 'Methylation')",DSS,2,WHITE,ASIAN,68,22,53,23
LIHC,"('mRNA', 'Methylation')",DSS,3,WHITE,ASIAN,39,31,41,23
LIHC,"('mRNA', 'Methylation')",DSS,4,WHITE,ASIAN,28,37,31,23
LIHC,"('mRNA', 'Methylation')",DSS,5,WHITE,ASIAN,19,42,18,24
