Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",DFI,3,143,139,10,7
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",DFI,4,101,148,8,8
PanGyn,"('Protein', 'MicroRNA', 'Methylation')",DFI,5,65,154,8,8
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",DFI,1,326,21,46,24
PanSCCs,"('Protein', 'MicroRNA', 'Methylation')",DFI,2,193,50,9,27
BLCA,"('mRNA', 'MicroRNA', 'Methylation')",OS,2,111,116,8,7
ESCA,"('mRNA', 'MicroRNA', 'Methylation')",OS,1,62,22,34,7
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",OS,1,117,20,103,35
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",OS,2,68,39,53,41
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",OS,3,39,50,41,41
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",OS,4,28,57,31,41
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",OS,5,19,62,18,43
STAD,"('mRNA', 'MicroRNA', 'Methylation')",OS,1,148,45,54,18
STAD,"('mRNA', 'MicroRNA', 'Methylation')",OS,2,63,76,17,22
STES,"('mRNA', 'MicroRNA', 'Methylation')",OS,1,210,67,88,25
STES,"('mRNA', 'MicroRNA', 'Methylation')",OS,2,93,111,19,30
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",OS,1,437,92,99,26
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",OS,2,239,146,20,31
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",OS,2,452,120,30,5
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",OS,3,309,173,18,6
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",OS,4,221,212,14,6
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",OS,5,146,235,14,6
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",OS,1,983,199,89,14
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",OS,2,568,368,20,23
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",OS,3,347,436,8,23
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",OS,4,244,463,6,24
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",OS,5,164,476,5,25
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,115,7,102,18
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,66,22,53,23
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,38,31,41,23
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,28,36,31,23
LIHC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,19,41,18,24
STAD,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,145,20,53,12
STAD,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,62,42,17,15
STES,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,205,32,87,16
