Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1BLACK,0BLACK
SARC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,132,30,10,5
SARC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,93,44,6,5
SARC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,65,51,5,5
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,196,19,56,7
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,131,27,35,11
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,98,30,23,14
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,64,31,18,15
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,132,18,23,9
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,75,21,13,10
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,42,23,9,10
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,31,24,7,10
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,536,41,89,7
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,427,67,49,9
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,338,86,31,9
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,266,101,23,9
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,189,112,15,10
STES,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,91,63,5,7
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,415,45,61,8
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,223,81,28,16
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,116,92,14,17
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,60,98,10,17
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,40,101,8,17
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,624,36,134,11
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,438,90,87,21
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,299,133,57,28
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,217,162,39,35
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,143,181,31,39
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,1,940,119,84,20
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,2,543,234,41,33
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,3,330,276,27,34
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,4,229,289,19,38
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DSS,5,152,296,17,38
BLCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,185,86,9,9
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,597,19,143,8
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,407,37,88,14
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,299,54,65,18
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,220,66,49,23
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,166,79,37,24
CESC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,78,29,12,6
CESC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,53,33,10,6
CESC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,38,34,8,7
CESC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,25,34,8,7
COAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,155,23,40,12
COAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,91,44,15,17
COAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,49,51,6,18
HNSC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,284,93,29,13
HNSC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,175,131,11,18
HNSC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,112,140,5,19
KIRC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,298,70,36,5
KIRC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,241,97,20,7
KIRC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,198,109,14,7
KIRC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,150,118,10,9
KIRC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,100,124,5,10
KIRP,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,149,19,45,7
KIRP,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,93,27,23,11
KIRP,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,60,31,12,11
KIRP,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,46,34,8,11
KIRP,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,33,35,5,11
LGG,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,164,116,10,9
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,255,65,43,6
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,114,118,18,17
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,70,139,10,20
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,37,147,5,23
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,24,149,5,23
LUSC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,213,42,13,8
LUSC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,120,69,8,10
LUSC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,68,81,8,10
LUSC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,51,83,5,12
OV,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,143,62,12,9
SARC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,126,71,13,6
SARC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,80,96,7,9
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,268,30,85,8
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,173,59,48,17
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,113,69,28,23
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,83,73,19,27
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,52,74,16,27
GBMLGG,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,164,116,10,9
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,206,35,44,12
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,120,59,19,17
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,65,66,9,18
COADREAD,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,38,68,6,19
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,494,93,85,12
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,378,129,46,18
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,296,147,29,18
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,233,159,19,20
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,166,166,11,21
STES,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,181,68,9,6
STES,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,78,103,5,9
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,387,103,53,18
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,198,162,24,26
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,97,176,10,27
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,53,182,7,28
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,36,183,5,29
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,560,126,122,23
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,332,241,67,43
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,213,278,42,50
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,150,292,30,56
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,94,299,27,56
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,1,862,261,73,35
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,2,492,385,36,47
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,3,302,425,25,48
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,4,213,439,19,51
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",PFI,5,130,459,17,51
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,350,21,77,9
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,264,27,55,12
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,194,35,41,16
BRCA,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,146,43,31,17
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,84,52,14,6
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,58,59,8,8
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,33,64,5,9
LUAD,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,22,64,5,9
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,153,29,35,5
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,101,35,18,11
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,74,37,13,13
UCEC,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,47,38,11,13
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,143,17,26,5
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,109,21,13,5
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,90,25,10,5
KIPAN,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,69,26,8,5
PanGI,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,17,41,5,5
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,1,426,30,87,7
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,270,97,48,16
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,177,121,26,23
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,126,129,21,25
PanGyn,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,78,134,19,25
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,2,286,67,20,6
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,3,165,85,13,6
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,4,116,87,11,7
PanSCCs,"('mRNA', 'MicroRNA', 'Methylation')",DFI,5,72,97,9,7
